Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.200151071015376
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,84.0776554602003
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.3248975483403
Afghanistan,AFG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.0901755117794
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.495
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.473
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,32.487
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.423
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.18922812838034
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,77415569869.8162
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,34.099998
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.7156219482422
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.93973156347946
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,45.8100373938934
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.5823903647225
Albania,ALB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.672873724304
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.319
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.617
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.78
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.898
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.01935968580831
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,38647380897.284
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,79.699997
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.59165741835207
Algeria,DZA,Age dependency ratio (% of working-age population),SP.POP.DPND,57.5080330994881
Algeria,DZA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,63.4888248687945
Algeria,DZA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,30.1486785862257
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.629
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.023
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,24.282
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.716
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.09999999999995
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,502937459259.169
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.300003
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6419219970703
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
American Samoa,ASM,Age dependency ratio (% of working-age population),SP.POP.DPND,..
American Samoa,ASM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..
American Samoa,ASM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.153
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.6711185308848
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
American Samoa,ASM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.97340536048203
